file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation
R_3dFi36iBfGeAgLj,0.0,192.80859410430838,unaligned,-41.86858143153527,-49.65564649795817,1.763228440342295
R_37iSe7AOO2jEV69,0.0,192.3657142857143,unaligned,-50.86323495009358,-62.71464932759603,2.2603458408854875
R_5PbL6s6qCoVOZau,0.0,139.32591836734693,unaligned,-50.08777006172839,-57.81536830228918,6.650740177216313
R_5GBoOfFwsUusO5c,0.0,226.01292517006803,unaligned,-50.34560417680633,-58.91334977667016,11.932303948315385
R_2NJooRxTNQEotaS,0.0,180.70893424036282,unaligned,-42.73822288323188,-48.866559527744755,1.8732655573733772
R_1GTTL3cYsKlpkhz,0.0,228.2057142857143,unaligned,-49.492243645924624,-59.62462517233456,13.141210331326937
R_3M08jDt2RBqwoo5,0.0,150.58775,unaligned,-46.0384347190862,-53.97977044649213,2.3367294759875747
R_1u207eJQIKoZ42J,0.0,171.20993197278912,unaligned,-52.66177716121496,-60.45730884258564,27.02405566199194
R_5JsmlYJByo05jYo,0.0,160.7659410430839,unaligned,-43.809564723811896,-51.95512308839892,1.5431542062802874
R_7an5i56fOILWVX6,0.0,190.3125850340136,unaligned,-44.94341469181861,-51.09062994306333,1.763228440342295
R_3Vr5hiQ331nWXAJ,0.0,240.18990929705217,unaligned,-38.232552148388706,-51.48769018683635,1.323079972218436
R_1BmuV2fs0sxyumB,0.0,23.456598639455784,unaligned,,,
R_58MyBquA9yYvdYd,0.0,182.71791383219954,unaligned,-46.135046658639375,-58.62156370153838,3.633859429869751
R_7HofYGwXLXgxyl4,0.0,255.47174603174602,unaligned,-45.60114690570321,-54.09431244502558,11.666568973134675
R_7axKjk6VItF57ZT,0.0,223.7649433106576,unaligned,-43.927438997139795,-51.71016521988628,8.252447718636262
R_7PHNFz8Kj3mmqmK,0.0,143.57124716553287,unaligned,-47.264492059622484,-54.092764266183444,3.6645659258070853
R_7I9K7bhwRDHuwxK,0.0,219.11258503401362,unaligned,-48.701051983022225,-55.889986537327275,9.090895973499851
R_3htp5cjhh9EZdMv,0.0,234.8279365079365,unaligned,-42.371513286772846,-53.85356412869748,3.225627805248618
R_5rjaNHtK8HZ50OJ,0.0,152.9792970521542,unaligned,-43.55520690331438,-51.66696524397235,1.3564193010996592
R_5mqQGjggFr2HXEJ,0.0,157.52326530612245,unaligned,-46.3065563103098,-57.56666909868472,2.9621576227894346
R_79caVs7yfJl9cY5,0.0,201.00056689342404,unaligned,-44.46591106965174,-55.42415026804847,2.208316848863571
R_1flwHNKIPWu3srP,0.0,207.82725623582766,unaligned,-43.78416718795111,-50.9820648442919,4.225337497537762
R_3ekUE4B3DryQ7iS,0.0,247.56995464852608,unaligned,-40.925040899175954,-51.67901455798996,2.1779438894668677
R_7gzRP4JVtvUYzEo,0.0,233.98192743764173,unaligned,-41.99281188563125,-52.7579746022995,11.363763804414118
R_7MuIwDfhafIVEEF,0.0,161.61088435374148,unaligned,-48.84994353690985,-57.08550742686219,9.28544200180674
R_6WCpjyRqjXscjMw,0.0,157.71526077097505,unaligned,-49.14592051867351,-62.67368541573578,2.1092694954327365
R_1rONpfhoLFQuI5U,0.0,202.742947845805,unaligned,-45.02201403275131,-56.36589461175081,1.3519263713427219
R_1rBoof7vrOGpLsG,0.0,192.91526077097507,unaligned,-42.67991226478669,-51.63724407302999,5.069919082461963
R_7TXBIM3uXn8vNab,0.0,100.7889342403628,unaligned,-55.96407397301052,-60.85360578442296,5.571522151488374
R_5PCqfLAcC6lIHBQ,0.0,157.50891156462586,unaligned,-47.43555555555555,-56.994788736730186,2.5334882595595567
R_5ifa1LFgh4gSa5z,0.0,178.24507936507936,unaligned,-43.58826582136445,-53.90808688546586,2.040011984182856
R_3yi8zWeqAEj2QHT,0.0,155.46920634920636,unaligned,-44.36892528624727,-51.063983587461095,2.575342631341156
R_6DRJOiHHHDKL74h,0.0,204.92591836734695,unaligned,-47.31906963693149,-58.17956812690286,10.566197802824323
R_3Nz9q8718ze6nqH,0.0,147.85927437641723,unaligned,-58.6655351707812,-62.90962087019266,6.147982886328004
R_6nruBCeXzZtYtqp,0.0,175.97659863945577,unaligned,-43.984134369494804,-49.76710511149375,2.412607365402279
R_6s0CMGgsTWOoOJ4,0.0,237.90725623582767,unaligned,-43.22739596469105,-51.86622442453393,2.40418765083529
R_6fd2KD20A04mVhh,0.0,157.86165532879818,unaligned,-46.861621848473334,-49.49797025420856,5.394453302366125
R_3nDjb3RkfhMOvXA,0.0,231.1424036281179,unaligned,-41.287228519511984,-49.900035392510496,1.7084819892005256
R_3PSSpNF2DzeZSJO,0.0,221.65124716553288,unaligned,-43.728324498082564,-55.29270575283828,2.1092694954327365
R_3diP1Xcgs5lGyct,0.0,192.95585034013607,unaligned,-44.91180681523711,-55.60498253728302,1.8689966649396155
R_3Mh5A1w5v388bAL,0.0,266.8546712018141,unaligned,-46.27591811879333,-53.34343817318187,1.9431904479345685
R_5Pde3pMe37DSpCF,0.0,181.09995464852608,unaligned,-42.86435612126567,-50.43019604460101,1.3937652150557642
R_10rqXf8qzOyAcJO,0.0,223.85777777777778,unaligned,-47.20163055617601,-64.13140504058619,2.9736367276835716
